ep,shot,start_s,end_s,duration_s,size,camera,scene,characters,lipsync,difficulty,line_speaker,line_ja,postfx,status,attempts,cost_cny,note
EP01,S01,0.0,3.5,3.5,特写,固定,会議室,課長,Y,易,課長,次回の更新は、ございません。,社員証貼字,pending,0,0,只拍嘴和低头不拍全脸
EP01,S02,3.5,7.0,3.5,大特写,极缓推进,会議室,女主,N,易,課長(心声),これで係長の失点は消える。,心声混响+耳鸣,pending,0,0,眼部特写全剧最稳
EP01,S03,7.0,12.0,5.0,近景,固定,会議室,女主,N,易,女主(独白),今、この人が言わなかった言葉が聞こえた。,,pending,0,0,
EP01,S04,12.0,18.0,6.0,特写手,固定,会議室,係長,N,最易,係長(心声),この報告書、名前さえ変えれば私の実績。,署名欄貼字,keyframe_ok,4,1.40,纸必须完全空白
EP01,S05,18.0,24.0,6.0,近景,固定,会議室,女主,N,易,女主(独白),あの報告書を書いたのは、私だ。,,pending,0,0,
EP01,S06,24.0,31.0,7.0,中景,固定,深夜オフィス,女主,N,中,女主(独白),三か月、毎晩ひとりで。,モニター合成,pending,0,0,屏幕生成时必须全黑
EP01,S07,31.0,38.0,7.0,特写手,固定,会議室,女主,N,最易,女主(独白),そのとき、気づいた。——聞こえるだけじゃない。,,pending,0,0,BGM首次进入
EP01,S08,38.0,45.0,7.0,特写,固定,会議室,課長,Y,易,課長,……いや、彼女の契約は、継続で。,改写音效,pending,0,0,复用S01关键帧图生图
EP01,S09a,45.0,46.6,1.6,特写,固定,会議室,係長,N,易,,,,pending,0,0,单独生成绝不同框
EP01,S09b,46.6,48.2,1.6,特写,固定,会議室,主任,N,易,,,,pending,0,0,单独生成绝不同框
EP01,S09c,48.2,50.0,1.8,特写,固定,会議室,課長,N,易,,,,pending,0,0,单独生成绝不同框
EP01,S10,50.0,55.0,5.0,近景,极缓推进,会議室,女主,N,易,女主(独白),本音は、書き換えられる。,,pending,0,0,极轻微笑不咧嘴
EP01,S11,55.0,60.0,5.0,特写物,固定,会議室,女主,N,最易,母/女主(独白),もしもし、〇〇？ ……この声、誰？,着信画面貼字,pending,0,0,手机生成时必须息屏
