ep,shot,kind,duration_s,size,camera,scene,characters,ref_images,outfile,prompt
EP01,S01,keyframe,3.5,特写,固定,会議室,課長,assets/characters/課長.png|assets/scenes/会議室.png,EP01_S01_keyframe_v1.png,
EP01,S01,video,3.5,特写,固定,会議室,課長,assets/characters/課長.png|assets/scenes/会議室.png,EP01_S01_video_v1.mp4,
EP01,S02,keyframe,3.5,大特写,极缓推进,会議室,女主,assets/characters/女主.png|assets/scenes/会議室.png,EP01_S02_keyframe_v1.png,
EP01,S02,video,3.5,大特写,极缓推进,会議室,女主,assets/characters/女主.png|assets/scenes/会議室.png,EP01_S02_video_v1.mp4,
EP01,S03,keyframe,5.0,近景,固定,会議室,女主,assets/characters/女主.png|assets/scenes/会議室.png,EP01_S03_keyframe_v1.png,
EP01,S03,video,5.0,近景,固定,会議室,女主,assets/characters/女主.png|assets/scenes/会議室.png,EP01_S03_video_v1.mp4,
EP01,S04,keyframe,6.0,特写手,固定,会議室,係長,assets/characters/係長.png|assets/scenes/会議室.png,EP01_S04_keyframe_v1.png,
EP01,S04,video,6.0,特写手,固定,会議室,係長,assets/characters/係長.png|assets/scenes/会議室.png,EP01_S04_video_v1.mp4,
EP01,S05,keyframe,6.0,近景,固定,会議室,女主,assets/characters/女主.png|assets/scenes/会議室.png,EP01_S05_keyframe_v1.png,
EP01,S05,video,6.0,近景,固定,会議室,女主,assets/characters/女主.png|assets/scenes/会議室.png,EP01_S05_video_v1.mp4,
EP01,S06,keyframe,7.0,中景,固定,深夜オフィス,女主,assets/characters/女主.png|assets/scenes/深夜オフィス.png,EP01_S06_keyframe_v1.png,
EP01,S06,video,7.0,中景,固定,深夜オフィス,女主,assets/characters/女主.png|assets/scenes/深夜オフィス.png,EP01_S06_video_v1.mp4,
EP01,S07,keyframe,7.0,特写手,固定,会議室,女主,assets/characters/女主.png|assets/scenes/会議室.png,EP01_S07_keyframe_v1.png,
EP01,S07,video,7.0,特写手,固定,会議室,女主,assets/characters/女主.png|assets/scenes/会議室.png,EP01_S07_video_v1.mp4,
EP01,S08,keyframe,7.0,特写,固定,会議室,課長,assets/characters/課長.png|assets/scenes/会議室.png,EP01_S08_keyframe_v1.png,
EP01,S08,video,7.0,特写,固定,会議室,課長,assets/characters/課長.png|assets/scenes/会議室.png,EP01_S08_video_v1.mp4,
EP01,S09a,keyframe,1.6,特写,固定,会議室,係長,assets/characters/係長.png|assets/scenes/会議室.png,EP01_S09a_keyframe_v1.png,
EP01,S09a,video,1.6,特写,固定,会議室,係長,assets/characters/係長.png|assets/scenes/会議室.png,EP01_S09a_video_v1.mp4,
EP01,S09b,keyframe,1.6,特写,固定,会議室,主任,assets/characters/主任.png|assets/scenes/会議室.png,EP01_S09b_keyframe_v1.png,
EP01,S09b,video,1.6,特写,固定,会議室,主任,assets/characters/主任.png|assets/scenes/会議室.png,EP01_S09b_video_v1.mp4,
EP01,S09c,keyframe,1.8,特写,固定,会議室,課長,assets/characters/課長.png|assets/scenes/会議室.png,EP01_S09c_keyframe_v1.png,
EP01,S09c,video,1.8,特写,固定,会議室,課長,assets/characters/課長.png|assets/scenes/会議室.png,EP01_S09c_video_v1.mp4,
EP01,S10,keyframe,5.0,近景,极缓推进,会議室,女主,assets/characters/女主.png|assets/scenes/会議室.png,EP01_S10_keyframe_v1.png,
EP01,S10,video,5.0,近景,极缓推进,会議室,女主,assets/characters/女主.png|assets/scenes/会議室.png,EP01_S10_video_v1.mp4,
EP01,S11,keyframe,5.0,特写物,固定,会議室,女主,assets/characters/女主.png|assets/scenes/会議室.png,EP01_S11_keyframe_v1.png,
EP01,S11,video,5.0,特写物,固定,会議室,女主,assets/characters/女主.png|assets/scenes/会議室.png,EP01_S11_video_v1.mp4,
